postcode,suburb,Distance_to_32WrightCt_km,Distance_Range,Free_Shipping_Threshold,Fee_If_Under
5000,ADELAIDE,1.07,≤ 5 km,$29,$6
5034,WAYVILLE,2.04,≤ 5 km,$29,$6
5035,KESWICK TERMINAL,2.33,≤ 5 km,$29,$6
5035,KESWICK,2.71,≤ 5 km,$29,$6
5034,GOODWOOD,2.79,≤ 5 km,$29,$6
5063,PARKSIDE,2.9,≤ 5 km,$29,$6
5006,NORTH ADELAIDE,2.98,≤ 5 km,$29,$6
5033,HILTON,2.98,≤ 5 km,$29,$6
5031,MILE END SOUTH,3.09,≤ 5 km,$29,$6
5067,KENT TOWN,3.36,≤ 5 km,$29,$6
5067,ROSE PARK,3.39,≤ 5 km,$29,$6
5069,HACKNEY,3.43,≤ 5 km,$29,$6
5031,MILE END,3.44,≤ 5 km,$29,$6
5063,EASTWOOD,3.45,≤ 5 km,$29,$6
5061,UNLEY,3.45,≤ 5 km,$29,$6
5061,HYDE PARK,3.45,≤ 5 km,$29,$6
5035,ASHFORD,3.58,≤ 5 km,$29,$6
5035,FORESTVILLE,3.7,≤ 5 km,$29,$6
5035,EVERARD PARK,3.73,≤ 5 km,$29,$6
5031,THEBARTON,3.89,≤ 5 km,$29,$6
5033,COWANDILLA,3.96,≤ 5 km,$29,$6
5067,NORWOOD,4.32,≤ 5 km,$29,$6
5033,MARLESTON,4.33,≤ 5 km,$29,$6
5033,RICHMOND,4.35,≤ 5 km,$29,$6
5037,KURRALTA PARK,4.43,≤ 5 km,$29,$6
5061,UNLEY PARK,4.43,≤ 5 km,$29,$6
5034,MILLSWOOD,4.44,≤ 5 km,$29,$6
5034,KINGS PARK,4.49,≤ 5 km,$29,$6
5065,DULWICH,4.55,≤ 5 km,$29,$6
5063,FREWVILLE,4.59,≤ 5 km,$29,$6
5007,HINDMARSH,4.63,≤ 5 km,$29,$6
5063,FULLARTON,4.7,≤ 5 km,$29,$6
5034,CLARENCE PARK,4.72,≤ 5 km,$29,$6
5081,GILBERTON,4.72,≤ 5 km,$29,$6
5082,OVINGHAM,4.72,≤ 5 km,$29,$6
5031,TORRENSVILLE,4.74,≤ 5 km,$29,$6
5065,TOORAK GARDENS,4.81,≤ 5 km,$29,$6
5035,BLACK FOREST,4.92,≤ 5 km,$29,$6
5061,MALVERN,4.92,≤ 5 km,$29,$6
5007,BOWDEN,4.95,≤ 5 km,$29,$6
5065,GLENSIDE,5.01,> 5 km 且 ≤ 10 km,$49,$6
5068,MARRYATVILLE,5.04,> 5 km 且 ≤ 10 km,$49,$6
5081,MEDINDIE,5.11,> 5 km 且 ≤ 10 km,$49,$6
5069,COLLEGE PARK,5.19,> 5 km 且 ≤ 10 km,$49,$6
5007,BROMPTON,5.19,> 5 km 且 ≤ 10 km,$49,$6
5032,BROOKLYN PARK,5.21,> 5 km 且 ≤ 10 km,$49,$6
5068,KENSINGTON,5.3,> 5 km 且 ≤ 10 km,$49,$6
5033,WEST RICHMOND,5.31,> 5 km 且 ≤ 10 km,$49,$6
5081,MEDINDIE GARDENS,5.4,> 5 km 且 ≤ 10 km,$49,$6
5037,GLANDORE,5.41,> 5 km 且 ≤ 10 km,$49,$6
5008,CROYDON,5.46,> 5 km 且 ≤ 10 km,$49,$6
5082,FITZROY,5.46,> 5 km 且 ≤ 10 km,$49,$6
5064,GLENUNGA,5.49,> 5 km 且 ≤ 10 km,$49,$6
5082,THORNGATE,5.58,> 5 km 且 ≤ 10 km,$49,$6
5038,PLYMPTON,5.59,> 5 km 且 ≤ 10 km,$49,$6
5032,UNDERDALE,5.61,> 5 km 且 ≤ 10 km,$49,$6
5069,EVANDALE,5.64,> 5 km 且 ≤ 10 km,$49,$6
5069,STEPNEY,5.7,> 5 km 且 ≤ 10 km,$49,$6
5041,CUMBERLAND PARK,5.73,> 5 km 且 ≤ 10 km,$49,$6
5007,WELLAND,5.76,> 5 km 且 ≤ 10 km,$49,$6
5067,BEULAH PARK,5.84,> 5 km 且 ≤ 10 km,$49,$6
5041,WESTBOURNE PARK,5.86,> 5 km 且 ≤ 10 km,$49,$6
5007,WEST HINDMARSH,5.91,> 5 km 且 ≤ 10 km,$49,$6
5009,ALLENBY GARDENS,5.91,> 5 km 且 ≤ 10 km,$49,$6
5062,HAWTHORN,6.0,> 5 km 且 ≤ 10 km,$49,$6
5064,GLEN OSMOND,6.01,> 5 km 且 ≤ 10 km,$49,$6
5068,LEABROOK,6.02,> 5 km 且 ≤ 10 km,$49,$6
5069,MAYLANDS,6.06,> 5 km 且 ≤ 10 km,$49,$6
5065,TUSMORE,6.09,> 5 km 且 ≤ 10 km,$49,$6
5008,RENOWN PARK,6.11,> 5 km 且 ≤ 10 km,$49,$6
5081,WALKERVILLE,6.11,> 5 km 且 ≤ 10 km,$49,$6
5063,HIGHGATE,6.12,> 5 km 且 ≤ 10 km,$49,$6
5008,RIDLEYTON,6.14,> 5 km 且 ≤ 10 km,$49,$6
5039,CLARENCE GARDENS,6.17,> 5 km 且 ≤ 10 km,$49,$6
5041,DAW PARK,6.17,> 5 km 且 ≤ 10 km,$49,$6
5083,NAILSWORTH,6.18,> 5 km 且 ≤ 10 km,$49,$6
5064,ST GEORGES,6.21,> 5 km 且 ≤ 10 km,$49,$6
5062,KINGSWOOD,6.23,> 5 km 且 ≤ 10 km,$49,$6
5069,ST PETERS,6.23,> 5 km 且 ≤ 10 km,$49,$6
5081,COLLINSWOOD,6.24,> 5 km 且 ≤ 10 km,$49,$6
5064,MYRTLE BANK,6.29,> 5 km 且 ≤ 10 km,$49,$6
5082,PROSPECT,6.37,> 5 km 且 ≤ 10 km,$49,$6
5008,DEVON PARK,6.38,> 5 km 且 ≤ 10 km,$49,$6
